frame	time	Max Temp	units
1	2022-08-10 10:57:29.754000	1.325279e+02	C
2	2022-08-10 10:57:29.787000	1.294334e+02	C
3	2022-08-10 10:57:29.820000	1.298227e+02	C
4	2022-08-10 10:57:29.854000	1.302113e+02	C
5	2022-08-10 10:57:29.887000	1.329116e+02	C
6	2022-08-10 10:57:29.920000	1.327198e+02	C
7	2022-08-10 10:57:29.954000	1.348198e+02	C
8	2022-08-10 10:57:29.987000	1.323358e+02	C
9	2022-08-10 10:57:30.020000	1.325279e+02	C
10	2022-08-10 10:57:30.054000	1.384000e+02	C
11	2022-08-10 10:57:30.087000	1.286526e+02	C
12	2022-08-10 10:57:30.120000	1.290434e+02	C
13	2022-08-10 10:57:30.154000	1.294334e+02	C
14	2022-08-10 10:57:30.187000	1.334858e+02	C
15	2022-08-10 10:57:30.220000	1.331032e+02	C
16	2022-08-10 10:57:30.254000	1.278689e+02	C
17	2022-08-10 10:57:30.287000	1.294334e+02	C
18	2022-08-10 10:57:30.320000	1.323358e+02	C
19	2022-08-10 10:57:30.354000	1.329116e+02	C
20	2022-08-10 10:57:30.387000	1.276726e+02	C
21	2022-08-10 10:57:30.420000	1.327198e+02	C
22	2022-08-10 10:57:30.454000	1.290434e+02	C
23	2022-08-10 10:57:30.487000	1.357676e+02	C
24	2022-08-10 10:57:30.520000	1.305992e+02	C
25	2022-08-10 10:57:30.554000	1.315657e+02	C
26	2022-08-10 10:57:30.587000	1.268852e+02	C
27	2022-08-10 10:57:30.620000	1.264903e+02	C
28	2022-08-10 10:57:30.654000	1.321436e+02	C
29	2022-08-10 10:57:30.687000	1.262926e+02	C
30	2022-08-10 10:57:30.720000	1.296281e+02	C
31	2022-08-10 10:57:30.754000	1.393327e+02	C
32	2022-08-10 10:57:30.787000	1.280652e+02	C
33	2022-08-10 10:57:30.820000	1.309863e+02	C
34	2022-08-10 10:57:30.854000	1.282612e+02	C
35	2022-08-10 10:57:30.887000	1.288481e+02	C
36	2022-08-10 10:57:30.920000	1.249034e+02	C
37	2022-08-10 10:57:30.954000	1.344395e+02	C
38	2022-08-10 10:57:30.987000	1.253013e+02	C
39	2022-08-10 10:57:31.020000	1.254999e+02	C
40	2022-08-10 10:57:31.054000	1.276726e+02	C
41	2022-08-10 10:57:31.087000	1.276726e+02	C
42	2022-08-10 10:57:31.120000	1.253013e+02	C
43	2022-08-10 10:57:31.154000	1.327198e+02	C
44	2022-08-10 10:57:31.187000	1.282612e+02	C
45	2022-08-10 10:57:31.220000	1.268852e+02	C
46	2022-08-10 10:57:31.254000	1.254999e+02	C
47	2022-08-10 10:57:31.287000	1.243051e+02	C
48	2022-08-10 10:57:31.320000	1.327198e+02	C
49	2022-08-10 10:57:31.353000	1.298227e+02	C
50	2022-08-10 10:57:31.387000	1.210839e+02	C
51	2022-08-10 10:57:31.420000	1.253013e+02	C
52	2022-08-10 10:57:31.454000	1.216918e+02	C
53	2022-08-10 10:57:31.487000	1.334858e+02	C
54	2022-08-10 10:57:31.520000	1.280652e+02	C
55	2022-08-10 10:57:31.554000	1.260947e+02	C
56	2022-08-10 10:57:31.587000	1.304053e+02	C
57	2022-08-10 10:57:31.620000	1.272792e+02	C
58	2022-08-10 10:57:31.653000	1.239053e+02	C
59	2022-08-10 10:57:31.687000	1.319511e+02	C
60	2022-08-10 10:57:31.720000	1.304053e+02	C
61	2022-08-10 10:57:31.753000	1.251024e+02	C
62	2022-08-10 10:57:31.787000	1.315657e+02	C
63	2022-08-10 10:57:31.820000	1.245047e+02	C
64	2022-08-10 10:57:31.853000	1.272792e+02	C
65	2022-08-10 10:57:31.887000	1.292385e+02	C
66	2022-08-10 10:57:31.920000	1.302113e+02	C
67	2022-08-10 10:57:31.953000	1.272792e+02	C
68	2022-08-10 10:57:31.987000	1.262926e+02	C
69	2022-08-10 10:57:32.020000	1.315657e+02	C
70	2022-08-10 10:57:32.053000	1.329116e+02	C
71	2022-08-10 10:57:32.087000	1.270823e+02	C
72	2022-08-10 10:57:32.120000	1.329116e+02	C
73	2022-08-10 10:57:32.153000	1.292385e+02	C
74	2022-08-10 10:57:32.187000	1.292385e+02	C
75	2022-08-10 10:57:32.220000	1.336769e+02	C
76	2022-08-10 10:57:32.253000	1.439389e+02	C
77	2022-08-10 10:57:32.287000	1.357676e+02	C
78	2022-08-10 10:57:32.320000	1.334858e+02	C
79	2022-08-10 10:57:32.353000	1.315657e+02	C
80	2022-08-10 10:57:32.387000	1.325279e+02	C
81	2022-08-10 10:57:32.420000	1.331032e+02	C
82	2022-08-10 10:57:32.453000	1.307928e+02	C
83	2022-08-10 10:57:32.487000	1.331032e+02	C
84	2022-08-10 10:57:32.520000	1.319511e+02	C
85	2022-08-10 10:57:32.553000	1.344395e+02	C
86	2022-08-10 10:57:32.587000	1.284570e+02	C
87	2022-08-10 10:57:32.620000	1.332946e+02	C
88	2022-08-10 10:57:32.653000	1.327198e+02	C
89	2022-08-10 10:57:32.687000	1.300171e+02	C
90	2022-08-10 10:57:32.720000	1.290434e+02	C
91	2022-08-10 10:57:32.753000	1.280652e+02	C
92	2022-08-10 10:57:32.787000	1.270823e+02	C
93	2022-08-10 10:57:32.820000	1.321436e+02	C
94	2022-08-10 10:57:32.853000	1.272792e+02	C
95	2022-08-10 10:57:32.887000	1.282612e+02	C
96	2022-08-10 10:57:32.920000	1.398904e+02	C
97	2022-08-10 10:57:32.953000	1.331032e+02	C
98	2022-08-10 10:57:32.987000	1.323358e+02	C
99	2022-08-10 10:57:33.020000	1.321436e+02	C
100	2022-08-10 10:57:33.053000	1.315657e+02	C
101	2022-08-10 10:57:33.087000	1.298227e+02	C
102	2022-08-10 10:57:33.120000	1.304053e+02	C
103	2022-08-10 10:57:33.153000	1.313727e+02	C
104	2022-08-10 10:57:33.187000	1.302113e+02	C
105	2022-08-10 10:57:33.220000	1.305992e+02	C
106	2022-08-10 10:57:33.253000	1.282612e+02	C
107	2022-08-10 10:57:33.287000	1.270823e+02	C
108	2022-08-10 10:57:33.320000	1.260947e+02	C
109	2022-08-10 10:57:33.353000	1.380259e+02	C
110	2022-08-10 10:57:33.387000	1.344395e+02	C
111	2022-08-10 10:57:33.420000	1.313727e+02	C
112	2022-08-10 10:57:33.453000	1.302113e+02	C
113	2022-08-10 10:57:33.487000	1.376511e+02	C
114	2022-08-10 10:57:33.520000	1.321436e+02	C
115	2022-08-10 10:57:33.553000	1.321436e+02	C
116	2022-08-10 10:57:33.587000	1.319511e+02	C
117	2022-08-10 10:57:33.620000	1.280652e+02	C
118	2022-08-10 10:57:33.653000	1.327198e+02	C
119	2022-08-10 10:57:33.687000	1.276726e+02	C
120	2022-08-10 10:57:33.720000	1.288481e+02	C
121	2022-08-10 10:57:33.753000	1.286526e+02	C
122	2022-08-10 10:57:33.787000	1.276726e+02	C
123	2022-08-10 10:57:33.820000	1.305992e+02	C
124	2022-08-10 10:57:33.853000	1.311796e+02	C
125	2022-08-10 10:57:33.887000	1.331032e+02	C
126	2022-08-10 10:57:33.920000	1.266878e+02	C
127	2022-08-10 10:57:33.953000	1.264903e+02	C
128	2022-08-10 10:57:33.987000	1.331032e+02	C
129	2022-08-10 10:57:34.020000	1.365229e+02	C
130	2022-08-10 10:57:34.053000	1.294334e+02	C
131	2022-08-10 10:57:34.087000	1.363344e+02	C
132	2022-08-10 10:57:34.120000	1.380259e+02	C
133	2022-08-10 10:57:34.153000	1.348198e+02	C
134	2022-08-10 10:57:34.187000	1.302113e+02	C
135	2022-08-10 10:57:34.220000	1.332946e+02	C
136	2022-08-10 10:57:34.253000	1.344395e+02	C
137	2022-08-10 10:57:34.287000	1.309863e+02	C
